Company Name,ISIN,ISIC full_code,ISIC section_label,ISIC division_label,ISIC group_label,ISIC description,Region/Country,Report Date,Fiscal Year,Quarter,Month,OS-C Code,Factor Area Code,Factor Code,Sub-Factor Code,Report Label,Quantity,Quantity Type,Reported Units,Standardized Quantity,Standardized units,Orig Report,Page,Note,Analyst,Factor Area,Factor,Sub Factor,SASB Industry Code,SASB Sub-Metric Code,SASB units,CDP Code,OS-C - CDP synthetic code,Description
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,EF.7.2,EF,7,2,System Average Interruption Duration Index (SAIDI) (Minutes),256.6,,Minutes,256.6,Minutes,Final ESG Data Center.xlsx,,,Baltzell,Energy/Fuel,Grid Resiliency,System Average Interruption Duration Index (SAIDI),IF-EU,IF-EU-550a.2a,"Minutes, Number",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,EF.7.3,EF,7,3,System Average Interruption Frequency Index (SAIFI) - Number of interruptions,1.531,,Minutes,1.531,Minutes,Final ESG Data Center.xlsx,,,Baltzell,Energy/Fuel,Grid Resiliency,System Average Interruption Frequency Index (SAIFI),IF-EU,IF-EU-550a.2b,"Minutes, Number",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,EF.7.4,EF,7,4,Customer Average Interruption Duration index (CAIDI) (Minutes),167.7,,Minutes,167.7,Minutes,Final ESG Data Center.xlsx,,,Baltzell,Energy/Fuel,Grid Resiliency,"Customer Average Interruption Duration Index (CAIDI), inclusive of major event days",IF-EU,IF-EU-550a.2c,"Minutes, Number",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.1.1,Em,1,1,Total Scope 1 emissions CO2e (Mg),75361246,,Mg," 75,361,246 ",mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 1 Emissions Total,,IF-EU,IF-EU-110a.1a,"Mg (t) CO_-e, Percentage (%)",C6.1,C6.1.1,(C6.1) What were your organization’s gross global Scope 1 emissions in Mg CO2e?
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.13.1,Em,13,1,Scope 1 and 2 intensity (Mg CO2e/total revenue $) ,0.005623,,mtCO2e/$,0.005623,mtCO2e/$,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Carbon Intensity,unit total revenue,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.1,(C6.10) Describe your gross global combined Scope 1 and 2 emissions for the reporting year in Mg CO2e per unit currency total revenue and provide any additional intensity metrics that are appropriate to your business operations.
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.13.8,Em,13,8,Scope 1 and 2 intensity (Mg CO2e/MWh generated) ,0.8293,,mtCO2e/MWh generated,0.8293,mtCO2e/MWh generated,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Carbon Intensity,megawatt hour generated (MWh),IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",C6.10,C6.10.8,(C6.10) Describe your gross global combined Scope 1 and 2 emissions for the reporting year in Mg CO2e per unit currency total revenue and provide any additional intensity metrics that are appropriate to your business operations.
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.17.10,Em,17,10,NOx (MT),45282,,"Mg (t), Percentage (%)"," 45,282 ",Mg,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Air Emissions other than GHG,NO,IF-EU,IF-EU-120a.1a,"Mg (t), Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.17.13,Em,17,13,SO2 (MT),62274,,"Mg (t), Percentage (%)"," 62,274 ",Mg,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Air Emissions other than GHG,SO,IF-EU,IF-EU-120a.1b,"Mg (t), Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.17.6,Em,17,6,Air emissions from lead (Pb),"314,229",,Pounds,,,SASB 2020 Report,4,,Baltzell,Emissions,Air Emissions other than GHG,lead (Pb),IF-EU,IF-EU-120a.1d,"Mg (t), Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.17.8,Em,17,8,Mercury (kg) ,179.2,,kg,179.2,kg,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Air Emissions other than GHG,mercury (Hg),IF-EU,IF-EU-120a.1e,"Mg (t), Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.4.12,Em,4,12,SF6 (MT CO2e),163408,,mtCO2e," 163,408 ",mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 1 emissions by source,Sulfur hexafluoride (SF6),IF-EU,,,,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.4.7,Em,4,7,CO2 (MT),74661649,,Mg," 74,661,649 ",mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 1 emissions by source,Carbon dioxide (CO2) (million tonnes),IF-EU,,,,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.4.8,Em,4,8,CH4 (MT CO2e),225741,,mtCO2e," 225,741 ",mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 1 emissions by source,Methane (CH4) (Gg),IF-EU,,,,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.4.9,Em,4,9,N2O (MT CO2e),310447,,mtCO2e," 310,447 ",mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 1 emissions by source,Nitrous oxide (N2O) (Gg),IF-EU,,,,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.7.1,Em,7,1,Location Based,15739423,,Mg," 15,739,423 ",mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 2 Emissions Total,Scope 2 - Location-Based,IF-EU,,,C6.3,C6.3.1,"Scope 2, location-based"
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,Em.7.2,Em,7,2,Market Based,14479514,,Mg," 14,479,514 ",mtCO2e,Final ESG Data Center.xlsx,,,Baltzell,Emissions,Scope 2 Emissions Total,Scope 2 - Market-Based1,IF-EU,,,C6.3,C6.3.2,"Scope 2, market-based"
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,WR.1.1,WR,1,1,Total Water Consumption (m3/year),182463954.3,,m_/year," 182,464 ",dam3,Final ESG Data Center.xlsx,,,Baltzell,"Water Risk, Adaptation, and Resilience",Water Consumption,Total water consumed,IF-EU,IF-EU-140a.1b,"Thousand cubic meters (m_), Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY18,,,WR.2.1,WR,2,1,Total Water Withdrawal (m3/year),5765507247,,m_/year," 5,765,507 ",dam3,Final ESG Data Center.xlsx,,,Baltzell,"Water Risk, Adaptation, and Resilience",Water Withdrawal,Total water withdrawn,IF-EU,IF-EU-140a.1a,"Thousand cubic meters (m_), Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.6.1,EF,6,1,Number of customers served in markets subject to renewable portfolio standards (RPS),3386683,,Number of Customers,3386683,customers,2020 SASB Report,,,Baltzell,Energy/Fuel,RPS,Customers served,IF-EU,IF-EU-110a.4a,"Number, Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.6.2,EF,6,2,Percentage fulfillment of renewable portfolio standards (RPS) target by market,62.11%,,Percentage (%),62.11%,percentage,2020 SASB Report,,,Baltzell,Energy/Fuel,RPS,Percentage fulfillment of renewable portfolio standards (RPS) target by market,IF-EU,IF-EU-110a.4b,"Number, Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.6.3,EF,6,3,"The entity shall discuss its operations in markets with RPS regulations or where regulations are emerging, including whether it is meeting its regulatory obligations, whether regulations require future increases or changes to the entity’s renewable energy portfolio, and strategies to maintain compliance with emerging regulations.",[not found],,text,,,,,,Baltzell,Energy/Fuel,RPS,Strategy,IF-EU,IF-EU-110a.4c,"Number, Percentage (%)",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.7.1,EF,7,1,Number of incidents of non-compliance with physical and/or cybersecurity standards or regulations,[not found],,Number,,,GRI Report Appendix 21,42,could not confirm 0 incidents,Baltzell,Energy/Fuel,Grid Resiliency,Number of incidents of non-compliance with physical and/or cybersecurity standards or regulations,IF-EU,IF-EU-550a.1a,Number,,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.7.2,EF,7,2,System Average Interruption Duration Index (SAIDI) (Minutes),228.8,,Minutes,228.80,Minutes,Final ESG Data Center.xlsx,,,Baltzell,Energy/Fuel,Grid Resiliency,System Average Interruption Duration Index (SAIDI),IF-EU,IF-EU-550a.2a,"Minutes, Number",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.7.3,EF,7,3,System Average Interruption Frequency Index (SAIFI) - Number of interruptions,1.406,,Minutes,1.41,Minutes,Final ESG Data Center.xlsx,,,Baltzell,Energy/Fuel,Grid Resiliency,System Average Interruption Frequency Index (SAIFI),IF-EU,IF-EU-550a.2b,"Minutes, Number",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.7.4,EF,7,4,Customer Average Interruption Duration index (CAIDI) (Minutes),162.8,,Minutes,162.80,Minutes,Final ESG Data Center.xlsx,,,Baltzell,Energy/Fuel,Grid Resiliency,"Customer Average Interruption Duration Index (CAIDI), inclusive of major event days",IF-EU,IF-EU-550a.2c,"Minutes, Number",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.7.5,EF,7,5,The entity shall discuss notable service disruptions such as those that affected a significant number of customers or disruptions of extended duration,[not found],,Text,,,Final ESG Data Center.xlsx,,,Baltzell,Energy/Fuel,Grid Resiliency,The entity shall discuss notable service disruptions such as those that affected a significant number of customers or disruptions of extended duration,IF-EU,IF-EU-550a.2d,"Minutes, Number",,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.8.1,EF,8,1,Percentage of electric utility revenues from rate structures that are decoupled,0.04%,,Percentage (%),0.04%,percentage,,,,Baltzell,Energy/Fuel,End-Use Efficiency & Demand,Percentage of electric utility revenues from rate structures that are decoupled,IF-EU,IF-EU-420a.1a,Percentage (%),,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.8.2,EF,8,2,Percentage of electric utility revenues from rate structures that contain a lost revenue adjustment mechanism (LRAM),0.29%,,Percentage (%),0.29%,percentage,,,,Baltzell,Energy/Fuel,End-Use Efficiency & Demand,Percentage of electric utility revenues from rate structures that contain a lost revenue adjustment mechanism (LRAM),IF-EU,IF-EU-420a.1b,Percentage (%),,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.8.3,EF,8,3,Percentage of electric load served by smart grid technology,[see notes],,Percentage (%) by megawatt hours (MWh),,,2020 SASB Report,8,Refers to 6 documents,Baltzell,Energy/Fuel,End-Use Efficiency & Demand,Percentage of electric load served by smart grid technology,IF-EU,IF-EU-420a.2a,Percentage (%) by megawatt hours (MWh),,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.8.4,EF,8,4,The entity shall discuss the opportunities and challenges associated with the development and operations of a smart grid,[see notes],,Percentage (%) by megawatt hours (MWh),,,2020 SASB Report,8,Refers to 6 documents,Baltzell,Energy/Fuel,End-Use Efficiency & Demand,The entity shall discuss the opportunities and challenges associated with the development and operations of a smart grid,IF-EU,IF-EU-420a.2b,Percentage (%) by megawatt hours (MWh),,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.8.5,EF,8,5,Customer electricity savings from efficiency measures by market,[see notes],,Megawatt hours (MWh),,,2020 SASB Report,8,refers to 2 documents,Baltzell,Energy/Fuel,End-Use Efficiency & Demand,Customer electricity savings from efficiency measures by market,IF-EU,IF-EU-420a.3a,Megawatt hours (MWh),,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.8.6,EF,8,6,The entity shall discuss customer efficiency regulations relevant to each market in which it operates,[see notes],,Megawatt hours (MWh),,,2020 SASB Report,8,refers to 2 documents,Baltzell,Energy/Fuel,End-Use Efficiency & Demand,The entity shall discuss customer efficiency regulations relevant to each market in which it operates,IF-EU,IF-EU-420a.3b,Megawatt hours (MWh),,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.9.1,EF,9,1,Average retail electric rate for residential customers,[see subsidiaries],,Rate,,,2020 SASB Report,6,,Baltzell,Energy/Fuel,Energy Affordability,Average retail electric rate for residential customers,IF-EU,IF-EU-240a.1a,Rate,,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.9.2,EF,9,2,Average retail electric rate for commercial customers,[see subsidiaries],,Rate,,,2020 SASB Report,6,,Baltzell,Energy/Fuel,Energy Affordability,Average retail electric rate for commercial customers,IF-EU,IF-EU-240a.1b,Rate,,,
AMERICAN ELECTRIC POWER,US0255371017,D3510,"Electricity, gas, steam and air conditioning supply","Electricity, gas, steam and air conditioning supply","Electric power generation, transmission and distribution","Electric power generation, transmission and distribution",US,,FY19,,,EF.9.3,EF,9,3,Average retail electric rate for industrial customers,[see subsidiaries],,Rate,,,2020 SASB Report,6,,Baltzell,Energy/Fuel,Energy Affordability,Average retail electric rate for industrial customers,IF-EU,IF-EU-240a.1c,Rate,,,
